country_code,year,illiterate_prop,age_group,sex
226,1980,36.463915645756735,20--39,Both
226,1985,30.017319682999602,20--39,Both
226,1990,24.163235094667467,20--39,Both
226,1995,18.92410239133966,20--39,Both
226,2000,14.33910215497733,20--39,Both
226,2005,10.430914763555634,20--39,Both
226,2010,7.222220595049715,20--39,Both
226,2015,4.735700027434725,20--39,Both
226,2020,0,20--39,Both
226,2025,0,20--39,Both
231,1970,81.56314201915042,20--39,Both
231,1975,78.7257512547935,20--39,Both
231,1980,75.62529969901706,20--39,Both
231,1985,72.25790243130176,20--39,Both
231,1990,68.6196745311282,20--39,Both
231,1995,64.68123050681758,20--39,Both
231,2000,60.40391519803807,20--39,Both
231,2005,55.76993918129076,20--39,Both
231,2010,50.76151303307665,20--39,Both
231,2015,45.36084732989688,20--39,Both
231,2020,43.36533724951657,20--39,Both
231,2025,39.363231018801194,20--39,Both
233,1970,0.9085151229238154,20--39,Both
233,1975,0.7373179039612431,20--39,Both
233,1980,0.5898159181539167,20--39,Both
233,1985,0.46585188414844675,20--39,Both
233,1990,0.3652685205914435,20--39,Both
233,1995,0.2871576295156418,20--39,Both
233,2000,0.23019460383010434,20--39,Both
233,2005,0.19359754849593352,20--39,Both
233,2010,0.17658456847423148,20--39,Both
233,2015,0.17837376872610058,20--39,Both
233,2020,0,20--39,Both
233,2025,0,20--39,Both
242,1970,20.901696821124347,20--39,Both
242,1975,17.344569725296754,20--39,Both
242,1980,14.156988827598786,20--39,Both
242,1985,11.342455865835168,20--39,Both
242,1990,8.904472577810601,20--39,Both
242,1995,6.829036116876042,20--39,Both
242,2000,5.089564498925015,20--39,Both
242,2005,3.6706907555761057,20--39,Both
242,2010,2.557047918447891,20--39,Both
242,2015,1.733269019158952,20--39,Both
242,2020,0,20--39,Both
242,2025,0,20--39,Both
246,1970,1.5640276373959248,20--39,Both
246,1975,1.1813118120022577,20--39,Both
246,1980,0.8602303578422322,20--39,Both
246,1985,0.6008190526990801,20--39,Both
246,1990,0.4031136743560328,20--39,Both
246,1995,0.26527014052155334,20--39,Both
246,2000,0.1843030450604085,20--39,Both
246,2005,0.15853617999028477,20--39,Both
246,2010,0.18629333732886877,20--39,Both
246,2015,0.2658983090938472,20--39,Both
246,2020,0,20--39,Both
246,2025,0,20--39,Both
250,1970,3.128055280443648,20--39,Both
250,1975,2.3626236267768435,20--39,Both
250,1980,1.720460716219948,20--39,Both
250,1985,1.2016381043660331,20--39,Both
250,1990,0.8062273468081699,20--39,Both
250,1995,0.5305402789935159,20--39,Both
250,2000,0.36860608862666516,20--39,Both
250,2005,0.31707235968684355,20--39,Both
250,2010,0.3725866761532772,20--39,Both
250,2015,0.5317966220051922,20--39,Both
250,2020,0,20--39,Both
250,2025,0,20--39,Both
254,1970,17.28075525922079,20--39,Both
254,1975,14.855859052947794,20--39,Both
254,1980,12.664991182098873,20--39,Both
254,1985,10.71224829724698,20--39,Both
254,1990,9.001727048965066,20--39,Both
254,1995,7.539824410696762,20--39,Both
254,2000,6.329633255042315,20--39,Both
254,2005,5.370294081309589,20--39,Both
254,2010,4.6609473888064485,20--39,Both
254,2015,4.200733676840762,20--39,Both
254,2020,1.2561077266762122,20--39,Both
254,2025,0,20--39,Both
