country_code,name,year,age_group,sex,mean_skills,oecd_standard,saf
440,Lithuania,2000,20--64,Male,264.3940339174489,262.58093963833664,1.0069048967591079
440,Lithuania,2005,20--64,Male,263.4712942967933,262.58093963833664,1.0033907817516494
440,Lithuania,2010,20--64,Male,264.1008019178129,262.58093963833664,1.005788166808945
440,Lithuania,2015,20--64,Male,263.6382951464048,262.58093963833664,1.0040267793600117
440,Lithuania,2020,20--64,Male,237.44740630929795,262.58093963833664,0.9042827199732923
440,Lithuania,2025,20--64,Male,239.70651434975295,262.58093963833664,0.912886193034081
440,Lithuania,1970,40--64,Both,260.80731752600656,256.87068587245733,1.0153253441130448
440,Lithuania,1975,40--64,Both,261.93377621441755,256.87068587245733,1.0197106583990443
440,Lithuania,1980,40--64,Both,262.4254178411368,256.87068587245733,1.0216246238834645
440,Lithuania,1985,40--64,Both,262.21019477652146,256.87068587245733,1.0207867584653678
440,Lithuania,1990,40--64,Both,262.6708766386956,256.87068587245733,1.0225801972947517
440,Lithuania,1995,40--64,Both,263.73038816077155,256.87068587245733,1.0267048856315206
440,Lithuania,2000,40--64,Both,263.4939791662464,256.87068587245733,1.0257845431886987
440,Lithuania,2005,40--64,Both,262.1175776863226,256.87068587245733,1.0204261992607069
440,Lithuania,2010,40--64,Both,261.1670773691903,256.87068587245733,1.0167258925717442
440,Lithuania,2015,40--64,Both,259.506222945618,256.87068587245733,1.0102601706543863
440,Lithuania,2020,40--64,Both,231.21961519190305,256.87068587245733,0.9001401401898749
440,Lithuania,2025,40--64,Both,232.5120559373982,256.87068587245733,0.9051716241877682
440,Lithuania,1970,40--64,Female,257.08698755670434,256.87068587245733,1.0008420644944842
440,Lithuania,1975,40--64,Female,258.1837482540432,256.87068587245733,1.0051117642214646
440,Lithuania,1980,40--64,Female,259.19351676424805,256.87068587245733,1.0090428025444058
440,Lithuania,1985,40--64,Female,259.60136081086245,256.87068587245733,1.010630543260047
440,Lithuania,1990,40--64,Female,261.1021247277683,256.87068587245733,1.0164730313267898
440,Lithuania,1995,40--64,Female,263.2989750179883,256.87068587245733,1.0250253902024569
440,Lithuania,2000,40--64,Female,263.44680030872837,256.87068587245733,1.025600875451924
440,Lithuania,2005,40--64,Female,264.04945603506894,256.87068587245733,1.027947019871999
440,Lithuania,2010,40--64,Female,263.09682358498577,256.87068587245733,1.0242384127693724
440,Lithuania,2015,40--64,Female,261.4090780951275,256.87068587245733,1.0176680036776309
440,Lithuania,2020,40--64,Female,234.68212283044056,256.87068587245733,0.9136197150459047
440,Lithuania,2025,40--64,Female,235.56073235566132,256.87068587245733,0.9170401502046951
440,Lithuania,1970,40--64,Male,265.7139122838218,256.87068587245733,1.0344267637287166
440,Lithuania,1975,40--64,Male,266.89342989606774,256.87068587245733,1.0390186369050571
440,Lithuania,1980,40--64,Male,266.5344748442118,256.87068587245733,1.0376212215065785
440,Lithuania,1985,40--64,Male,265.45845898096206,256.87068587245733,1.033432281614138
440,Lithuania,1990,40--64,Male,264.5678246072692,256.87068587245733,1.0299650336069632
440,Lithuania,1995,40--64,Male,264.24599377208835,256.87068587245733,1.0287121431337363
440,Lithuania,2000,40--64,Male,263.5502164824749,256.87068587245733,1.0260034755905707
440,Lithuania,2005,40--64,Male,259.8427382681783,256.87068587245733,1.0115702279753194
440,Lithuania,2010,40--64,Male,258.907762543745,256.87068587245733,1.007930358671986
440,Lithuania,2015,40--64,Male,257.3226743921427,256.87068587245733,1.001759595565178
440,Lithuania,2020,40--64,Male,227.3864379222973,256.87068587245733,0.8852175449681335
440,Lithuania,2025,40--64,Male,229.2219807635964,256.87068587245733,0.892363330541387
484,Mexico,1970,20--39,Both,212.1018051184359,269.7014710297242,0.7864317695733289
484,Mexico,1975,20--39,Both,213.68378837468362,269.7014710297242,0.7922974522861732
484,Mexico,1980,20--39,Both,218.91898655267667,269.7014710297242,0.8117085372832441
484,Mexico,1985,20--39,Both,222.31448041184768,269.7014710297242,0.8242983605652862
484,Mexico,1990,20--39,Both,225.30652025001214,269.7014710297242,0.8353922557032727
484,Mexico,1995,20--39,Both,228.56337765132977,269.7014710297242,0.8474680422715954
484,Mexico,2000,20--39,Both,229.29166961179777,269.7014710297242,0.8501684055943737
484,Mexico,2005,20--39,Both,229.44114821492397,269.7014710297242,0.8507226428499418
484,Mexico,2010,20--39,Both,229.8200118295515,269.7014710297242,0.8521273946044688
484,Mexico,2015,20--39,Both,229.28750501597486,269.7014710297242,0.8501529640923047
484,Mexico,2020,20--39,Both,229.1903184907036,269.7014710297242,0.8497926155747374
484,Mexico,2025,20--39,Both,230.57952250564617,269.7014710297242,0.8549435107835718
484,Mexico,1970,20--39,Female,212.5699613556098,269.7014710297242,0.7881676008069758
484,Mexico,1975,20--39,Female,214.08552498383838,269.7014710297242,0.7937870126049246
